Section,Standard,Indicator
Safety & Biosafety,General Safety,Safety inspections conducted
Safety & Biosafety,General Safety,Safety signage posted appropriately
Safety & Biosafety,Biosafety,Biosafety manual available
Safety & Biosafety,Biosafety,Biosafety level appropriate for testing
Safety & Biosafety,Biosafety,Biological safety cabinet certified if required
Safety & Biosafety,Biosafety,Sharps containers available and properly used
Safety & Biosafety,Biosafety,Biohazard waste segregated and disposed properly
Safety & Biosafety,Chemical Safety,Chemicals properly labeled and stored
Safety & Biosafety,Chemical Safety,Hazardous chemicals in ventilated areas
Safety & Biosafety,Chemical Safety,Chemical spills managed appropriately
Safety & Biosafety,Chemical Safety,Flammables stored in approved cabinets
Safety & Biosafety,Chemical Safety,Chemical inventory maintained
Waste Management,Waste Segregation,Color-coded waste bins available
Waste Management,Waste Segregation,Waste segregated at point of generation
Waste Management,Waste Segregation,Sharps disposed in puncture-proof containers
Waste Management,Waste Segregation,Liquid waste managed appropriately
Waste Management,Waste Segregation,Chemical waste segregated from biological waste
Waste Management,Waste Treatment,Infectious waste autoclaved before disposal
Waste Management,Waste Treatment,Alternative treatment if autoclave not available
Waste Management,Waste Treatment,Treatment records maintained
Waste Management,Waste Treatment,Waste containers sealed before removal
Waste Management,Waste Treatment,Dedicated staff for waste management
Waste Management,Waste Disposal,Licensed waste contractor used
Waste Management,Waste Disposal,Waste disposal records maintained
Waste Management,Waste Disposal,Waste storage area designated
Waste Management,Waste Disposal,Waste removed at appropriate frequency
Waste Management,Waste Disposal,Environmental clearance certificate available
Quality Management,Documentation,Quality manual available
Quality Management,Documentation,Standard operating procedures available for all tests
Quality Management,Documentation,SOPs reviewed and updated annually
Quality Management,Documentation,Document control system exists
Quality Management,Documentation,Document change history maintained
Quality Management,Quality Indicators,Quality indicators established
Quality Management,Quality Indicators,Indicator data collected and analyzed
Quality Management,Quality Indicators,Trends monitored
Quality Management,Quality Indicators,Performance compared to benchmarks
Quality Management,Quality Indicators,Quality improvement actions taken
Quality Management,Management Review,Management reviews conducted quarterly
Quality Management,Management Review,Review minutes documented
Quality Management,Management Review,Action items tracked to completion
Quality Management,Management Review,Resources allocated for quality improvement
Quality Management,Management Review,Laboratory director participates in reviews
Record Keeping,Test Records,Test requisitions properly completed
Record Keeping,Test Records,Patient results recorded accurately
Record Keeping,Test Records,Results authorized before release
Record Keeping,Test Records,Critical results documented with notification
Record Keeping,Test Records,Records filed systematically
Record Keeping,Record Retention,Records retained per regulatory requirements
Record Keeping,Record Retention,Archive system organized
Record Keeping,Record Retention,Records retrievable when needed
Record Keeping,Record Retention,Confidentiality maintained
Record Keeping,Record Retention,Backup system for electronic records
Client Services,Sample Collection,Sample collection procedures documented
Client Services,Sample Collection,Patient identification verified
Client Services,Sample Collection,Samples properly labeled
Client Services,Sample Collection,Sample acceptance/rejection criteria defined
Client Services,Sample Collection,Rejected samples documented
Client Services,Results Reporting,Results reported in standard format
Client Services,Results Reporting,Reference ranges indicated
Client Services,Results Reporting,Critical results flagged
Client Services,Results Reporting,Reports reviewed before release
Client Services,Results Reporting,Report turnaround time monitored
